PID: 0 | TP: 5328 | CP: 5329 | EP: BLOQUEADO | NES: 63 | N_CPU: 63 | Ação: EXECUTANDO >>> BLOQUEADO
PID: 0 | TP: 5328 | CP: 5329 | EP: EXECUTANDO | NES: 63 | N_CPU: 64 | Ação: PRONTO >>> EXECUTANDO
PID: 0 | TP: 5330 | CP: 5331 | EP: BLOQUEADO | NES: 64 | N_CPU: 64 | Ação: EXECUTANDO >>> BLOQUEADO
PID: 0 | TP: 5330 | CP: 5331 | EP: PRONTO | NES: 64 | N_CPU: 64 | Ação: BLOQUEADO >>> PRONTO
PID: 0 | TP: 5330 | CP: 5331 | EP: EXECUTANDO | NES: 64 | N_CPU: 65 | Ação: PRONTO >>> EXECUTANDO
PID: 0 | TP: 5534 | CP: 5535 | EP: BLOQUEADO | NES: 65 | N_CPU: 65 | Ação: EXECUTANDO >>> BLOQUEADO
PID: 0 | TP: 5534 | CP: 5535 | EP: PRONTO | NES: 65 | N_CPU: 65 | Ação: BLOQUEADO >>> PRONTO
PID: 0 | TP: 5534 | CP: 5535 | EP: EXECUTANDO | NES: 65 | N_CPU: 66 | Ação: PRONTO >>> EXECUTANDO
PID: 0 | TP: 5544 | CP: 5545 | EP: BLOQUEADO | NES: 66 | N_CPU: 66 | Ação: EXECUTANDO >>> BLOQUEADO
PID: 0 | TP: 5544 | CP: 5545 | EP: EXECUTANDO | NES: 66 | N_CPU: 67 | Ação: PRONTO >>> EXECUTANDO
PID: 0 | TP: 5615 | CP: 5616 | EP: BLOQUEADO | NES: 67 | N_CPU: 67 | Ação: EXECUTANDO >>> BLOQUEADO
PID: 0 | TP: 5615 | CP: 5616 | EP: EXECUTANDO | NES: 67 | N_CPU: 68 | Ação: PRONTO >>> EXECUTANDO
PID: 0 | TP: 5650 | CP: 5651 | EP: BLOQUEADO | NES: 68 | N_CPU: 68 | Ação: EXECUTANDO >>> BLOQUEADO
PID: 0 | TP: 5650 | CP: 5651 | EP: PRONTO | NES: 68 | N_CPU: 68 | Ação: BLOQUEADO >>> PRONTO
PID: 0 | TP: 5650 | CP: 5651 | EP: EXECUTANDO | NES: 68 | N_CPU: 69 | Ação: PRONTO >>> EXECUTANDO
PID: 0 | TP: 5707 | CP: 5708 | EP: BLOQUEADO | NES: 69 | N_CPU: 69 | Ação: EXECUTANDO >>> BLOQUEADO
PID: 0 | TP: 5707 | CP: 5708 | EP: PRONTO | NES: 69 | N_CPU: 69 | Ação: BLOQUEADO >>> PRONTO
PID: 0 | TP: 5707 | CP: 5708 | EP: EXECUTANDO | NES: 69 | N_CPU: 70 | Ação: PRONTO >>> EXECUTANDO
PID: 0 | TP: 5789 | CP: 5790 | EP: BLOQUEADO | NES: 70 | N_CPU: 70 | Ação: EXECUTANDO >>> BLOQUEADO
PID: 0 | TP: 5789 | CP: 5790 | EP: PRONTO | NES: 70 | N_CPU: 70 | Ação: BLOQUEADO >>> PRONTO
PID: 0 | TP: 5789 | CP: 5790 | EP: EXECUTANDO | NES: 70 | N_CPU: 71 | Ação: PRONTO >>> EXECUTANDO
PID: 0 | TP: 5917 | CP: 5918 | EP: BLOQUEADO | NES: 71 | N_CPU: 71 | Ação: EXECUTANDO >>> BLOQUEADO
PID: 0 | TP: 5917 | CP: 5918 | EP: EXECUTANDO | NES: 71 | N_CPU: 72 | Ação: PRONTO >>> EXECUTANDO
PID: 0 | TP: 5963 | CP: 5964 | EP: BLOQUEADO | NES: 72 | N_CPU: 72 | Ação: EXECUTANDO >>> BLOQUEADO
PID: 0 | TP: 5963 | CP: 5964 | EP: PRONTO | NES: 72 | N_CPU: 72 | Ação: BLOQUEADO >>> PRONTO
PID: 0 | TP: 5963 | CP: 5964 | EP: EXECUTANDO | NES: 72 | N_CPU: 73 | Ação: PRONTO >>> EXECUTANDO
PID: 0 | TP: 6045 | CP: 6046 | EP: BLOQUEADO | NES: 73 | N_CPU: 73 | Ação: EXECUTANDO >>> BLOQUEADO
PID: 0 | TP: 6045 | CP: 6046 | EP: EXECUTANDO | NES: 73 | N_CPU: 74 | Ação: PRONTO >>> EXECUTANDO
PID: 0 | TP: 6197 | CP: 6198 | EP: BLOQUEADO | NES: 74 | N_CPU: 74 | Ação: EXECUTANDO >>> BLOQUEADO
PID: 0 | TP: 6197 | CP: 6198 | EP: EXECUTANDO | NES: 74 | N_CPU: 75 | Ação: PRONTO >>> EXECUTANDO
PID: 0 | TP: 6205 | CP: 6206 | EP: BLOQUEADO | NES: 75 | N_CPU: 75 | Ação: EXECUTANDO >>> BLOQUEADO
PID: 0 | TP: 6205 | CP: 6206 | EP: EXECUTANDO | NES: 75 | N_CPU: 76 | Ação: PRONTO >>> EXECUTANDO
PID: 0 | TP: 6374 | CP: 6375 | EP: BLOQUEADO | NES: 76 | N_CPU: 76 | Ação: EXECUTANDO >>> BLOQUEADO
PID: 0 | TP: 6374 | CP: 6375 | EP: EXECUTANDO | NES: 76 | N_CPU: 77 | Ação: PRONTO >>> EXECUTANDO
PID: 0 | TP: 6442 | CP: 6443 | EP: BLOQUEADO | NES: 77 | N_CPU: 77 | Ação: EXECUTANDO >>> BLOQUEADO
